YEAR,New York City,Los Angeles,Cook,Miami-Dade,Maricopa,Suffolk,Orange,Harris,Nassau,Dallas
29-Jun,219670,100772,90253,35221,45178,61134,35096,31036,41955,22720
30-Jun,219844,103529,90670,36819,48710,61204,36068,31746,41989,23351
1-Jul,220143,105507,91059,37960,52266,61280,37287,33195,42049,23928
2-Jul,220567,107667,91530,40264,54757,61383,39162,34449,42135,24686
3-Jul,221028,110310,91931,42310,57929,61474,41253,35675,42200,25823
4-Jul,221395,113497,92412,44728,59829,61557,44239,36282,42265,26955
5-Jul,221637,114993,92710,47010,62296,61627,45485,36971,42344,28035
6-Jul,221882,116570,92964,48991,64915,61699,46075,38159,42378,29257
7-Jul,222156,120539,93249,51057,67543,61778,47223,39697,42434,30365
8-Jul,222444,123004,93693,53973,70128,61919,49322,40413,42497,31413
9-Jul,222723,124738,94211,55960,73165,62021,50145,41329,42569,32694
10-Jul,223078,127358,94841,58340,76328,62139,51652,42415,42670,33908
11-Jul,223382,130242,95377,60867,78481,62259,52905,44360,42749,35050
12-Jul,223725,133549,95800,64443,80146,62329,55048,45793,42831,36254
13-Jul,223977,136129,96133,67712,81216,62454,56992,47814,42900,37397
14-Jul,224293,140307,96436,69802,84233,62600,58179,49492,42993,38428
15-Jul,224662,143009,96925,72316,86483,62678,59664,50847,43062,39509
16-Jul,225045,147468,97486,75424,88954,62778,61967,52450,43132,40614
17-Jul,225414,150319,98069,77866,91863,62881,63593,54040,43215,41841
18-Jul,225799,153041,98577,81025,93870,62995,64599,55301,43276,42930
19-Jul,226104,155887,98960,84237,95471,63067,65964,56273,43367,44010
20-Jul,226388,159045,99348,87034,96711,63117,66695,57606,43462,45089
21-Jul,226779,161673,99764,89556,98988,63225,68184,59002,43540,45854
22-Jul,227130,164870,100427,92344,100543,63299,69678,60454,43603,46298
23-Jul,227517,166848,101109,95067,102247,63447,71188,61951,43681,46985
24-Jul,227882,168757,101751,98429,104613,63566,72643,63166,43755,47667
25-Jul,228220,172325,102291,101853,107291,63649,73903,64664,43834,48973
26-Jul,228445,173995,102924,104754,108677,63779,74757,65905,43901,49806
27-Jul,228740,176028,103354,107314,109988,63881,75485,66762,43984,50272
28-Jul,228939,178642,103790,110351,111446,63984,76173,68240,44045,51076
29-Jul,229237,183383,104370,113142,113148,64114,77076,69717,44109,51828
30-Jul,229551,185872,105074,115915,114852,64283,78084,71449,44195,52393
31-Jul,229834,188481,105889,118461,117293,64446,78950,73571,44257,54473
1-Aug,230147,190693,106530,121206,119295,64579,80089,75500,44350,53799
2-Aug,230410,192167,107117,122689,120279,64700,80897,77262,44426,55827
3-Aug,230648,193788,107654,123643,120960,64773,81559,78729,44501,56287
4-Aug,230964,195614,108155,124758,121789,64949,82268,80169,44574,57087
5-Aug,231268,197912,108843,125948,123082,65132,82761,81542,44637,57611
6-Aug,231600,201106,109578,127676,124022,65261,83717,82556,44718,58082
7-Aug,231942,204167,110431,129408,124924,65398,84029,83828,44782,58700
8-Aug,232271,206761,111300,131216,125545,65527,84810,85252,44847,59298
9-Aug,232517,208528,111890,132460,126053,65635,85776,86413,44888,60306
10-Aug,232756,210424,112393,133622,126371,65773,86810,87220,44929,60941
11-Aug,233030,211808,112935,135129,126791,65910,88084,88164,44977,61299
12-Aug,233422,214197,113504,139270,127188,65965,88649,89162,45031,61648
13-Aug,233859,216139,114257,140983,127768,66004,89285,90099,45075,62434
14-Aug,234223,218693,115192,142661,128352,66062,90309,91250,45136,63366
15-Aug,234609,220762,115822,144406,128865,66126,91201,92380,45207,64182
16-Aug,234918,221950,116438,145306,129385,66176,91829,92938,45263,69557
17-Aug,235155,223131,117098,146025,129562,66202,92184,93632,45300,71421
18-Aug,235446,224031,117652,146989,129958,66252,92796,94564,45355,72230
19-Aug,235714,225827,118496,148092,130384,66816,93409,95372,45435,72664
20-Aug,235985,227346,119253,149161,130800,66930,94140,96330,45508,73070
21-Aug,236269,229054,120142,150304,131166,67094,94864,97362,45597,73833
22-Aug,236534,230662,121067,151213,131685,67162,95680,98455,45661,74954
23-Aug,236822,231695,121808,151985,131787,67204,96066,99217,45743,75303
24-Aug,237032,232893,122397,152611,131962,67423,96616,100001,45796,75517
25-Aug,237263,233777,122926,153384,132290,67534,97176,100882,45870,75930
26-Aug,237525,235386,123678,154134,132434,67669,97957,101790,45936,76569
27-Aug,237838,236986,124199,154756,132704,67795,98566,102388,46024,76723
28-Aug,238107,238458,125084,155417,132986,67939,99141,103809,46123,77025
29-Aug,238385,239756,125638,156037,133389,68062,99767,105372,46197,77868
30-Aug,238677,240749,126517,156558,133641,68166,100204,106480,46269,77912
31-Aug,238938,241768,127093,156909,133728,68292,100461,107320,46381,78806
1-Sep,239246,242521,127508,159058,134004,68437,101299,108218,46489,79531
2-Sep,239512,243935,128135,159399,134346,67448,101738,108818,46574,79914
3-Sep,239815,244999,128533,159977,135109,67599,102606,109555,46689,79969
4-Sep,240139,246407,130068,160468,135495,67631,103186,110571,46785,80446
5-Sep,240416,247542,131143,161017,135856,67823,103698,111505,46909,80908
6-Sep,240711,248334,131606,161362,135964,67955,104091,112272,47009,81272
7-Sep,240919,248821,132151,161636,136004,68060,104307,112272,47068,81288
8-Sep,241141,249241,132608,162025,136040,68144,104571,112787,47144,81763
9-Sep,241351,249859,132933,162432,136324,68242,104995,113515,47241,82199
10-Sep,241686,251024,133500,162893,136571,68383,105448,114258,47325,82472
11-Sep,241936,252066,134221,163374,136887,68562,105916,115518,47441,82853
12-Sep,242242,253176,134889,163789,137292,68745,106306,115909,47547,83111
13-Sep,242486,253985,135338,164085,137507,68877,106633,116936,47640,83125
14-Sep,242754,254656,135813,164298,137589,68950,106779,118332,47711,83887
15-Sep,243061,255049,136230,164687,137870,69091,107124,121102,47800,84121
16-Sep,243314,256148,136786,165146,138151,69214,107436,121537,47884,84453
17-Sep,243644,257271,137535,165594,139051,69379,107854,122397,47978,84927
18-Sep,243995,258516,138124,165979,139963,69508,108355,123216,48051,85445
19-Sep,244484,259817,139122,166515,139586,69684,108874,124038,48164,85651
20-Sep,244885,260797,139636,166880,139856,69802,109283,124594,48242,86512
21-Sep,245147,261446,140145,167152,140006,69907,109540,138723,48290,86855
22-Sep,245495,262133,140626,167514,140314,69998,109963,139253,48361,87016
23-Sep,245776,263333,141173,167879,140409,70099,110331,139799,48441,87440
24-Sep,246198,264414,141982,168271,140584,70229,110696,140464,48496,88175
25-Sep,246570,265775,142769,168774,140753,70382,111245,141318,48580,88210
26-Sep,247000,266988,143639,169143,140963,70522,111715,141658,48656,88230
27-Sep,247384,267801,144189,169425,141211,70668,112100,142146,48740,90040
28-Sep,247765,268455,144870,169465,141377,70788,112284,142500,48811,90366
29-Sep,248287,269284,145253,170085,141738,70890,112679,143109,48907,91200
30-Sep,248738,270299,146020,170399,141856,70996,113066,143480,48984,91520
1-Oct,249272,271371,146712,170881,142287,71185,113489,144329,49068,91554
2-Oct,249874,272653,147478,171390,142566,71431,113964,147034,49182,91581
3-Oct,250583,273638,148403,171875,142968,71641,114521,148100,49326,92637
4-Oct,251119,274565,148943,172204,143183,71829,114987,148613,49428,92657
5-Oct,251591,274942,149689,172397,143411,71943,115290,149040,49490,93785
6-Oct,252159,275856,150150,172848,143917,72097,115663,149575,49587,93799
